CHALLENGE        NODE       STATUS       SEVERITY   TARGET         REASON
ch-00de5ae386b   1          open         major      statement      In the Archimedean assumption, '...
ch-0765eb7a3c8   1          open         critical   statement      The term 'algebra' is used (in '...
ch-0b8dfa92246   1          open         major      statement      The 'Archimedean assumption' is ...
ch-0dd307d336e   1          open         critical   statement      The term 'freely generated' is u...
ch-180784b50d0   1          open         major      statement      The term 'unital *-algebra' uses...
ch-2be12ce77a8   1          open         critical   statement      The property 'self-adjoint' is u...
ch-3d21031f2a9   1          open         major      dependencies   This node is marked as having no...
ch-471b71e2ea3   1          open         critical   statement      The notation B(H) appears in the...
ch-483e194014f   1          open         major      completeness   The set S_M of M-positive states...
ch-4b666d8398f   1          open         critical   statement      The variable n appears in 'g_1,....
ch-77d42bac33e   1          open         major      statement      In the definition of M, we have ...
ch-78bb2a6c41c   1          open         major      statement      The notation 'C<g_1,...,g_n>' ap...
ch-7a6869ed346   1          open         critical   statement      The term '*-representation' is u...
ch-7b705633d2a   1          open         critical   statement      The symbol C appears multiple ti...
ch-953ff31db78   1          open         critical   statement      The term 'quadratic module' is u...
ch-a03cd51b4b6   1          open         major      statement      The definition of M as a 'quadra...
ch-e0b36633786   1          open         critical   statement      The relation >= appears in two p...
ch-e1529f3d216   1          open         critical   statement      The node claims to be 'foundatio...
ch-f09c6bedcb8   1          open         major      statement      M-positive states are defined as...
ch-f4b33c09c80   1          open         critical   statement      The term '*-algebra' is used but...
ch-03a92177d3d   1.1        open         critical   statement      Circular definition: The stateme...
ch-0f87e91cb41   1.1        open         major      statement      Unit element not constructed: Th...
ch-1fb3d4aaa0f   1.1        open         minor      statement      Indexing convention: The subscri...
ch-30ecddbc780   1.1        open         minor      statement      Generators not formally introduc...
ch-3d9f950bfd4   1.1        open         major      inference      Inference type mismatch: Node is...
ch-4aa63d2ac05   1.1        open         major      statement      Scalar multiplication not define...
ch-536608da653   1.1        open         note       context        Missing standard reference: The ...
ch-560ff7bac98   1.1        open         minor      statement      Vector space structure implicit:...
ch-6f4a80f8169   1.1        open         critical   statement      Undefined 'freely generated': Th...
ch-7a2a1b92fd0   1.1        open         major      scope          Scope ambiguity: Does 'Let A_0 =...
ch-7c52c63e9a0   1.1        open         major      statement      Cardinality of generators unclea...
ch-8657a28a65f   1.1        open         major      statement      Non-standard notation: The angle...
ch-94c026d7681   1.1        open         major      completeness   Universal property missing: For ...
ch-b389b17605a   1.1        open         critical   statement      Base field/ring not specified: T...
ch-bb116040882   1.1        open         major      statement      Properties of *-operation undefi...
