*********************************************
*   Spectrum of j=11 model in the format:
* 
*   R-charge    Energy  Spin
* 
*   for R < 0 and j_z = 0.  The energy is in
*   units of the coupling.
* 
*   (Other sectors can be gotten from 
*   charge conjugation and SO(3) symmetry.)
*********************************************


-23/6	23/3	0
-7/2	20/3	11
-19/6	20/3	11
-19/6	17/3	1
-19/6	17/3	3
-19/6	17/3	5
-19/6	17/3	7
-19/6	17/3	9
-19/6	17/3	13
-19/6	17/3	15
-19/6	17/3	17
-19/6	17/3	19
-19/6	17/3	21
-17/6	4.666666666671517	30
-17/6	4.666666666664241	28
-17/6	4.666666666658784	27
-17/6	4.666666666673336	26
-17/6	4.666666666656965	25
-17/6	4.666666666675155	24
-17/6	4.666666666660603	24
-17/6	4.666666666673336	23
-17/6	5.661735261413924	22
-17/6	4.666666666649689	22
-17/6	5.612421208752494	21
-17/6	4.666666666675155	21
-17/6	5.419391916935638	20
-17/6	4.666666666664241	20
-17/6	5.092510196514922	19
-17/6	4.666666666667879	19
-17/6	5.0527835160792165	18
-17/6	4.666666666668789	18
-17/6	4.66666666666606	18
-17/6	5.683208856404235	17
-17/6	4.66666666666606	17
-17/6	6.227829863870284	16
-17/6	4.666666666670608	16
-17/6	4.66666666666697	16
-17/6	5.685131627732517	15
-17/6	4.666666666667879	15
-17/6	4.666666666660603	15
-17/6	5.126118689379837	14
-17/6	4.66666666666697	14
-17/6	4.666666666665151	14
-17/6	5.830179731867702	13
-17/6	4.666666666668334	13
-17/6	4.666666666668334	13
-17/6	6.1277813555007015	12
-17/6	4.666666666670153	12
-17/6	4.666666666667879	12
-17/6	4.66666666666697	12
-17/6	5.231547444808257	11
-17/6	4.666666666670153	11
-17/6	4.66666666666606	11
-17/6	5.486335137063634	10
-17/6	4.666666666667425	10
-17/6	4.66666666666697	10
-17/6	4.666666666665151	10
-17/6	6.257810544159383	9
-17/6	4.666666666667425	9
-17/6	4.666666666664469	9
-17/6	5.373834474949035	8
-17/6	4.666666666668789	8
-17/6	4.666666666664469	8
-17/6	5.2828796128278555	7
-17/6	4.6666666666667425	7
-17/6	6.347247428918649	6
-17/6	4.66666666666697	6
-17/6	4.666666666664014	6
-17/6	5.438596491227713	5
-17/6	5.100751879694258	4
-17/6	4.6666666666641845	4
-17/6	6.55238095238326	3
-17/6	5.409523809522867	2
-17/6	7.666666666659686	0
-5/2	3.6666666666642413	38
-5/2	3.6666666666351375	36
-5/2	3.6666666666533274	35
-5/2	3.6666666666606034	34
-5/2	3.6666666666533274	34
-5/2	3.6666666666133096	33
-5/2	4.632146829848352	32
-5/2	3.6666666666533274	32
-5/2	3.6666666666533274	32
-5/2	4.451798294412583	31
-5/2	3.6666666666751553	31
-5/2	4.547658293991844	30
-5/2	4.0995052209545975	30
-5/2	3.6666666666533274	30
-5/2	3.6666666666496894	30
-5/2	4.188453857081186	29
-5/2	3.9780115277389996	29
-5/2	3.6666666666751553	29
-5/2	4.552712480837727	28
-5/2	4.380471991449667	28
-5/2	3.8737385638632986	28
-5/2	3.666666666698802	28
-5/2	3.6666666666806123	28
-5/2	5.081588648339675	27
-5/2	4.29809772745466	27
-5/2	3.851040887309864	27
-5/2	3.6666666666806123	27
-5/2	5.010787247971166	26
-5/2	4.45589772456151	26
-5/2	4.188421401277083	26
-5/2	3.8561283314211323	26
-5/2	3.666666666696983	26
-5/2	3.6666666666824312	26
-5/2	3.6666666666678793	26
-5/2	4.933473637973293	25
-5/2	4.5116569627061835	25
-5/2	3.8405296748442197	25
-5/2	3.7640666557435907	25
-5/2	3.6666666666606034	25
-5/2	4.9214853013909305	24
-5/2	4.7152002888306015	24
-5/2	4.423369588574133	24
-5/2	4.012186522115371	24
-5/2	3.7872295578254125	24
-5/2	3.6666666666678793	24
-5/2	3.6666666666606034	24
-5/2	3.6666666666606034	24
-5/2	5.356329266807734	23
-5/2	4.880466627415444	23
-5/2	4.669215282423465	23
-5/2	4.166759024414205	23
